title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
The Tragedy of Man,,tragedyman_002_front.jpg,"dust jacket of ""The Tragedy of Man""",Bruce Peel Library,Penguin Random House Archive and Library,A long dramatic poem translated from the Hungarian.,Imre Madach,,,Poetry,English,,1933
The Magnetic Mountain,,6291.jpg,"John Banting, front cover of ""The Magnetic Mountain""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Living Poets,Cecil Day-Lewis,,,Poetry,English,,1933
New Country Prose and Poetry by the authors of New Signatures,,,,,,A follow-up volume to the New Signatures anthology.,,Michael Roberts,,Poetry,English,,1933
Collected Poems,,vsackervillewest_002_front.jpg,"dust jacket of ""Collected Poems""",Bruce Peel Library,Penguin Random House Archive and Library,"Sackville-West's poems, like her novels, were very good sellers for the Press. Although it was unusual for the Press to publish ""Collected Works,"" Sackville-West was an exception to this rule.",Vita Sackville-West,,,Poetry,English,,1933
The Twilight Age: A Fragment of a Life,,,,,,"A highly experimental novel based on fragmentary biographical methods. The author's name seems suspiciously like a pseudonym but I have found no evidence either way and Woolmer does not indicate this, if it is indeed a pseudonym.",A. Prophett,,,Novel,English,,1933
Livingstones: A Novel of Contemporary Life,,livingstones_002_front.jpg,"Ronald Grierson, dust jacket of ""Livingstones: A Novel of Contemporary Life""",Bruce Peel Library,Penguin Random House Archive and Library,"A novel set in council estates and lodging houses where the author went to do research into the conditions of ""contemporary life."" A project reminiscent of Orwell's Down and Out in Paris and London. There is a disclaimer in this book, though, unlike in Orwell's autobiography: ""The author wishes to state emphatically that all characters in this book are entirely fictitious and no reference to any person, living or deceased, is anywhere intended.""",Derrick Leon,,,Novel,English,,1933
A Letter to a Grandfather,,ALetterToAGrandfather_001.tif,"John Banting, front cover of ""A Letter to a Grandfather"" ",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",Hogarth Letters,Rebecca West,,,Letters,English,,1933
The Hogarth Letters,,,,,,A collection of all of the letters in the Hogarth Letters series.,,Leonard Woolf,,Letters,English,,1933
Flush: A Biography,,flush_002_front.jpg,"Vanessa Bell, dust jacket of ""Flush: A Biography""",Bruce Peel Library,Henrietta Garnett,,Virginia Woolf,,,Biography,English,,1933
The Well of Days,,,,,,An autobiographical novel translated from the Russian by the Nobel Prize winner for 1933.,Ivan Bunin,,,Novel,English,,1933
Financial Democracy,,financialdemocracy_002_front.jpg,"dust jacket of ""Financial Democracy""",Bruce Peel Library,Penguin Random House Archive and Library,"An expert on Russian economics and one on English railways discuss the problems associated with a democracy run on corporate interests. Described in a contemporary review as a ""short but readable book"" (Political Science Quarterly 1934), this volume discusses the issue in both America and England.",Margaret Miller|Douglas Campbell,,,Economics,English,,1933
Paul Valery,,,,,,Bosanquet offers this relatively conventional biographical and literary study of the French poet and philosopher.,Theodora Bosanquet,,,Biography,English,,1933
The Worker's Point of View,,6449.jpg,"Richard Kennedy, dust jacket of ""The Worker's Point of View""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey","A collection of articles by C. T. Cramp, W. F. Watson, J. H. Mitchell, John Gibson, Louis Katin, T. A. Hargrave and Roger Dataller. These autobiographical sketches of working life are similar to the Women's Guild collection (below) and were originally gathered for The Human Factor, a journal of the National Institute of Industrial Psychology.",C. T. Cramp,,,Biography,English,,1933
New Introductory Lectures on Psychoanalysis,,,,,,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,English,,1933
The Riddle of the Sphinx or Human Origins,,6250.jpg,"dust jacket of ""The Riddle of the Sphinx or Human Origins""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Geza Roheim,,,Psychoanalysis,English,,1934
Race and Economics in South Africa,,6258.jpg,"front cover of ""Race and Economics in South Africa""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,W. G. Ballinger,,,Politics,English,,1934
The Noise of History,,TheNoiseOfHistory_001.tif,"Vanessa Bell, front cover of ""The Noise of History"" ",Bruce Peel Library ,Henrietta Garnett,Hogarth Living Poets,John Lehmann,,,Poetry,English,,1934
"Illyria, Lady",,,,,,"A novel about travelling in a sort of fictionalized Mediterranean. Butler indicates its fictionality by stating that ""It is, I gather, usual in the case of such books as the present to explain that none of the characters are real; and the reader has only to refer to any Gazetteer to ascertain that neither Illyria, Dvor nor Slobodnigrad are to be found on the map.""",Constance Butler,,,Novel,English,,1934
Good Merchant,,6412.jpg,"Betty Graham, dust jacket of the ""Good Merchant""",E.J. Pratt Library,Penguin Random House Archive and Library,"A first novel by a new writer, this book ""describes the culmination of the career of a modern English business man --- his work, his marriage, and his values are shown against a background which is the capital city of a South American Republic"" (dust jacket).",John L. Graham,,,Novel,English,,1934
Progressive Schools,,6431.jpg,"Richard Kennedy, dust jacket of ""Progressive Schools""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey","A contrasting view to Pekin's study of public schools, this volume examines the alternative methods that are being used in education around England.",L. B. Pekin,,,Education,English,,1934
Charles Lamb: His Life Recorded by His Contemporaries,,6285.jpg,"Vanessa Bell, dust jacket of ""Charles Lamb: His Life Recorded by His Contemporaries""",E.J. Pratt Library,Henrietta Garnett,"This is the first volume in a new series of biographies which proceeds on a system different from the usual. The life of each biographer will be presented entirely through the eyes of his contemporaries, from contemporary descriptions by those who knew or saw him, and from contemporary documents.'",Edmund Blunden,,,Biography,English,,1934
In a Province,,6416.jpg,"Anthony Butts, dust jacket of ""In a Province""",E.J. Pratt Library,Penguin Random House Archive and Library,"The first novel of an Afrikaner farmer, this book portrays the tragic state of a racially segregated South Africa.",Laurens Van der Post,,,Novel,English,,1934
An African Speaks for His People,,6246.jpg,"dust jacket of ""An African Speaks for His People""",E.J. Pratt Library,Penguin Random House Archive and Library,An important text in current scholarship in the field of African Studies.,Parmenas Githendu Mockerie,,,Politics,English,,1934
The Roots of Violence,,,,,,Day to Day Pamphlets,S. K. Ratcliffe,,,Politics,English,,1934
The Medium of Poetry,,6442.jpg,"dust jacket of ""The Medium of Poetry""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Sixpenny Pamphlets,James Sutherland,,,Literary Criticism,English,,1934
The Worker and Wage Incentives: The Bedaux and Other Systems,,6256.jpg,"front cover of ""The Worker and Wage Incentives: The Bedaux and Other Systems""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,W. F. Watson,,,Politics,English,,1934
From Moscow to Samarkand,,,,,,"A travel narrative by the journalist Freda Utley, written under the pseudonym of Y. Z",Y. Z.,,,Travel Writing,English,,1934
Walter Sickert: A Conversation,,,,,,Woolf explores this Dutch artist's work by way of a kind of overheard conversation.,Virginia Woolf,,,Art and Art Criticism,English,,1934
The Dark Island,,darkislands__002_front.jpg,"Ben Nicolson, dust jacket of ""The Dark Island""",Bruce Peel Library,,"A darker and less witty novel than Sackville-West's earlier works, this book is about the island of Storn. Several claims to authenticity, including a map of the location, occur in the novel.",Vita Sackville-West,,,Novel,English,,1934
How to Make a Revolution,,makerevolution_002_front.jpg,"dust jacket of ""How to Make a Revolution""",Bruce Peel Library,Penguin Random House Archive and Library,A pamphlet on affecting political change by socialist and mystery writer Raymond Postgate.,Raymond Postgate,,,Politics,English,,1934
The Secret of Hilter's Victory,,,,,,Day to Day Pamphlets,Peter Petroff|Irma Petroff,,,Politics,English,,1934
The Question of the House of Lords,,6278.jpg,"front cover of ""The Question of the House of Lords""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,A. L. Rowse,,,Politics,English,,1934
Crime at Christmas,,,,,,Another in Kitchin's series of Detective Fiction,C. H. B. Kitchin,,,Detective Fiction,English,,1934
Poems,,,,,,,Rainer Maria Rilke,,,Poetry,German,,1934
"Reminiscences of Tolstoy, Checkov and Andreev",,gorkysreminiscences_002_front.jpg,"dust jacket of ""Reminiscences of Tolstoy, Checkov and Andreev""",Bruce Peel Library,Penguin Random House Archive and Library,A collection of the Press's early Russian publications into one volume,Maxim Gorky,,,Biography,Russian,,1934
"The 6,000 Beards of Athos",,6435.jpg,"dust jacket of ""The 6,000 Beards of Athos""",E.J. Pratt Library,Penguin Random House Archive and Library,"The recounted adventure of a young man who travels up Mount Athos, a strange colony of monks and hermits that forbids entry to women and beardless men. Brewster provides photographic portraits of the monks and detailed appendices describing their living habits and conditions, as well as narrative interjections about his experience.",Ralph Brewster,,,Travel Writing,English,,1935
Grammar of Love,,6413.jpg,"John Banting, dust jacket of ""Grammar of Love""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London","A new collection by the Nobel prize-winning author, the title story of which weaves an intricate and detailed web of love plots and describes the amorous affections of its protagonists as they go about their everyday lives.",Ivan Bunin,,,Short Fiction,English,,1935
Revolution in Writing,,,,,,Day to Day Pamphlets,Cecil Day-Lewis,,,Literary Criticism,English,,1935
Poverty and Plenty,,6259.jpg,"front cover of ""Poverty and Plenty""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,W. R. Lester,,,Economics,English,,1935
Mr. Roosevelt's Experiments,,6252.jpg,"dust jacket of ""Mr. Roosevelt's Experiments""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,S. H. Bailey,,,Politics,English,,1935
"Quack, Quack!",,,,,,"A severe indictment of fascism, this book criticizes the intellectuals who influenced the rise of fascism in European government, according to Woolf. These include Carlyle and Sprenger, whose religious and intellectual quackery Woolf denounces. This book contains a clear definition of fascism as a powerful party governed by an authoritarian leader and discusses the specific regimes of Hitler and Mussolini.",Leonard Woolf,,,Politics,English,,1935
Politics and Morals,,6262.jpg,"front cover of ""Politics and Morals""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,G. P. Gooch,,,Politics,English,,1935
Collected Poems 1929-1933,,,,,,Another rather unusual instance of the Press producing a collected works.,Cecil Day-Lewis,,,Poetry,English,,1935
A Time to Dance and Other Poems,,timedance_002_front.jpg,"dust jacket of ""A Time to Dance and Other Poems""",Bruce Peel Library,Penguin Random House Archive and Library,Day Lewis was a figure often associated with Auden and the 1930s poets championed by John Lehmann. He was an Irish poet who came to Oxford for his undergraduate years and lived in England subsequently.,Cecil Day-Lewis,,,Poetry,English,,1935
